Target Position,Measured Position,Measured Velocity,Measured Iq
5.192,5.183,-0.029,0.01
5.192,5.183,0.096,0.004
5.192,5.183,0.025,0.007
5.192,5.182,-0.077,0.007
5.192,5.183,0.035,0.003
5.192,5.183,0.004,0.019
5.192,5.182,-0.121,0.012
5.192,5.183,0.05,0.004
5.192,5.183,0.013,0.014
5.192,5.183,-0.036,0.027
5.192,5.183,-0.097,0.015
5.192,5.183,-0.026,0.005
5.192,5.184,0.129,0.016
5.192,5.183,-0.004,0.027
5.192,5.183,-0.075,0.016
5.192,5.183,0.057,0.006
5.192,5.183,0.051,0.016
5.192,5.183,0.002,0.014
5.192,5.182,-0.171,0.008
5.192,5.183,0.071,0.013
5.192,5.184,0.136,0.006
5.192,5.183,-0.032,0.002
5.192,5.183,-0.05,0.005
5.192,5.183,-0.007,0.004
5.192,5.183,0.049,0.005
5.192,5.183,-0.027,0.008
5.192,5.182,-0.09,0.013
5.192,5.183,-0.016,0.012
5.192,5.183,0.037,0.014
5.192,5.183,0.044,0.01
5.192,5.183,0.059,0.014
5.192,5.183,0.059,0.003
5.192,5.182,-0.121,0.013
5.192,5.184,0.242,0.015
5.192,5.182,-0.059,0.013
5.192,5.182,-0.037,0.01
5.192,5.183,0.019,0.01
5.192,5.183,0.146,0.002
5.192,5.182,-0.059,-0.001
5.192,5.182,-0.082,0.02
5.192,5.183,0.007,0.014
5.192,5.183,-0.011,0.011
5.192,5.183,0.016,0.006
5.192,5.182,-0.088,0.013
5.192,5.184,0.167,0.01
5.192,5.183,0.072,0.016
5.192,5.182,-0.071,0.005
5.192,5.183,-0.036,0.014
5.192,5.183,0.02,0.005
5.192,5.182,-0.129,0.008
5.192,5.183,0.006,0.017
5.192,5.183,-0.038,0.006
5.192,5.184,0.194,0.012
5.192,5.183,-0.057,0.017
5.192,5.183,0.087,0.01
5.192,5.184,0.167,0.008
5.192,5.183,-0.036,0.01
5.192,5.182,-0.107,0
5.192,5.183,0.009,0.007
5.192,5.183,-0.009,0.011
