1,2,3,4
2.512,619.099,5.841,0.0
2.512,620.093,0.236,0.0
2.512,621.102,1.015,0.0
2.512,622.115,1.819,0.0
2.512,623.111,2.508,0.0
2.512,624.102,3.167,0.0
2.512,625.11,3.935,0.0
2.512,626.099,4.575,0.0
2.512,627.103,5.323,0.0
2.512,628.113,6.108,0.0
2.512,629.108,0.505,0.0
2.512,630.112,1.25,0.0
2.512,631.114,1.981,0.0
2.512,632.107,2.651,0.0
2.512,633.11,3.39,0.0
2.512,634.116,4.148,0.0
2.512,635.113,4.845,0.0
2.512,636.111,5.544,0.0
2.512,637.116,0.011,0.0
2.512,638.112,0.704,0.0
2.512,639.107,1.382,0.0
2.512,640.107,2.103,0.0
2.512,641.125,2.944,0.0
2.512,642.126,3.667,0.0
2.512,643.117,4.318,0.0
2.512,644.122,5.071,0.0
2.512,645.11,5.708,0.0
2.512,646.106,0.111,0.0
2.512,647.113,0.874,0.0
2.512,648.116,1.614,0.0
2.512,649.107,2.273,0.0
2.512,650.106,2.98,0.0
2.512,651.106,3.698,0.0
2.512,652.099,4.365,0.0
2.512,653.108,5.144,0.0
2.512,654.106,5.843,0.0
2.512,655.115,0.34,0.0
2.512,656.114,1.052,0.0
2.512,657.106,1.717,0.0
2.512,658.105,2.421,0.0
2.512,659.103,3.128,0.0
2.512,660.111,3.902,0.0
2.512,661.11,4.607,0.0
2.512,662.099,5.252,0.0
2.512,663.099,5.962,0.0
2.512,664.105,0.443,0.0
2.512,665.105,1.158,0.0
2.512,666.116,1.954,0.0
2.512,667.123,2.72,0.0
2.512,668.113,3.365,0.0
2.512,669.111,4.064,0.0
2.512,670.098,4.696,0.0
2.512,671.099,5.417,0.0
2.512,672.105,6.178,0.0
2.512,673.1,0.572,0.0
2.512,674.099,1.287,0.0
2.512,675.097,1.987,0.0
2.512,676.084,2.616,0.0
2.512,677.075,3.264,0.0
2.512,678.089,4.078,0.0
2.512,679.088,4.791,0.0
2.512,680.087,5.504,0.0
2.512,681.085,6.203,0.0
2.512,682.09,0.675,0.0
2.512,683.084,1.345,0.0
2.512,684.084,2.065,0.0
2.512,685.098,2.882,0.0
2.512,686.096,3.579,0.0
2.512,687.086,4.232,0.0
2.512,688.089,4.964,0.0
2.512,689.095,5.724,0.0
2.512,690.103,0.218,0.0
2.512,691.114,1.011,0.0
2.512,692.111,1.705,0.0
2.512,693.106,2.385,0.0
2.512,694.115,3.168,0.0
2.512,695.108,3.832,0.0
2.512,696.105,4.528,0.0
2.512,697.124,5.378,0.0
2.512,698.12,6.071,0.0
2.512,699.117,0.485,0.0
2.512,700.113,1.168,0.0
2.512,701.113,1.886,0.0
2.512,702.102,2.526,0.0
2.512,703.1,3.23,0.0
2.512,704.111,4.021,0.0
2.512,705.107,4.714,0.0
2.512,706.099,5.373,0.0
2.512,707.093,6.051,0.0
2.512,708.094,0.486,0.0
2.512,709.09,1.174,0.0
2.512,710.096,1.935,0.0
2.512,711.09,2.61,0.0
2.512,712.087,3.309,0.0
2.512,713.087,4.021,0.0
2.512,714.079,4.686,0.0
2.512,715.083,5.428,0.0
2.512,716.093,6.213,0.0
2.512,717.089,0.618,0.0
2.512,718.087,1.325,0.0
2.512,719.099,2.126,0.0
2.512,720.1,2.849,0.0
2.512,721.096,3.54,0.0
2.512,722.109,4.344,0.0
2.512,723.109,5.065,0.0
2.512,724.119,5.85,0.0
2.512,725.116,0.26,0.0
2.512,726.111,0.941,0.0
2.512,727.113,1.672,0.0
2.512,728.115,2.403,0.0
2.512,729.121,3.162,0.0
2.512,730.118,3.858,0.0
2.512,731.116,4.565,0.0
2.512,732.114,5.264,0.0
2.512,733.109,5.95,0.0
2.512,734.108,0.371,0.0
2.512,735.125,1.207,0.0
2.512,736.117,1.871,0.0
2.512,737.107,2.52,0.0
2.512,738.112,3.272,0.0
2.512,739.1,3.899,0.0
2.512,740.092,4.561,0.0
2.512,741.098,5.324,0.0
2.512,742.102,6.069,0.0
2.512,743.098,0.474,0.0
2.512,744.093,1.152,0.0
2.512,745.079,1.77,0.0
2.512,746.08,2.496,0.0
2.512,747.083,3.233,0.0
2.512,748.085,3.962,0.0
2.512,749.092,4.73,0.0
2.512,750.086,5.408,0.0
2.512,751.085,6.177,0.0
2.512,752.086,0.558,0.0
2.512,753.083,1.254,0.0
2.512,754.101,2.096,0.0
2.512,755.1,2.803,0.0
2.512,756.091,3.459,0.0
2.512,757.091,4.174,0.0
2.512,758.091,4.895,0.0
2.512,759.087,5.578,0.0
2.512,760.092,0.053,0.0
2.512,761.093,0.776,0.0
2.512,762.089,1.465,0.0
2.512,763.089,2.177,0.0
2.512,764.08,2.833,0.0
2.512,765.087,3.599,0.0
2.512,766.095,4.371,0.0
2.512,767.092,5.068,0.0
2.512,768.09,5.769,0.0
2.512,769.095,0.236,0.0
2.512,770.087,0.898,0.0
2.512,771.079,1.559,0.0
2.512,772.084,2.312,0.0
2.512,773.088,3.054,0.0
2.512,774.086,3.761,0.0
2.512,775.076,4.409,0.0
2.512,776.087,5.202,0.0
2.512,777.083,5.888,0.0
2.512,778.08,0.304,0.0
2.512,779.088,1.076,0.0
2.512,780.09,1.804,0.0
2.512,781.085,2.485,0.0
2.512,782.087,3.216,0.0
2.512,783.086,3.926,0.0
2.512,784.086,4.644,0.0
2.512,785.091,5.394,0.0
2.512,786.085,6.074,0.0
2.512,787.087,0.52,0.0
2.512,788.097,1.307,0.0
2.512,789.089,1.966,0.0
2.512,790.083,2.644,0.0
2.512,791.088,3.391,0.0
2.512,792.096,4.168,0.0
2.512,793.093,4.865,0.0
2.512,794.084,5.513,0.0
2.512,795.087,6.255,0.0
2.512,796.079,0.628,0.0
2.512,797.075,1.319,0.0
2.512,798.085,2.104,0.0
2.512,799.095,2.892,0.0
2.512,800.086,3.545,0.0
2.512,801.084,4.252,0.0
2.512,802.087,4.986,0.0
2.512,803.08,5.656,0.0
2.512,804.09,0.158,0.0
2.512,805.088,0.865,0.0
2.512,806.096,1.634,0.0
2.512,807.097,2.36,0.0
2.512,808.088,3.01,0.0
2.512,809.085,3.707,0.0
2.512,810.098,4.513,0.0
2.512,811.094,5.202,0.0
2.512,812.093,5.917,0.0
2.512,813.098,0.381,0.0
2.512,814.088,1.032,0.0
2.512,815.087,1.739,0.0
2.512,816.087,2.46,0.0
2.512,817.095,3.231,0.0
2.512,818.103,4.006,0.0
2.512,819.096,4.667,0.0
2.512,820.098,5.401,0.0
2.512,821.093,6.084,0.0
2.512,822.097,0.543,0.0
2.512,823.103,1.307,0.0
2.512,824.096,1.973,0.0
2.512,825.096,2.686,0.0
2.512,826.094,3.388,0.0
2.512,827.086,4.055,0.0
2.512,828.081,4.735,0.0
2.512,829.097,5.563,0.0
2.512,830.095,6.262,0.0
2.512,831.095,0.697,0.0
2.512,832.093,1.404,0.0
2.512,833.089,2.092,0.0
2.512,834.082,2.759,0.0
2.512,835.085,3.493,0.0
2.512,836.094,4.273,0.0
2.512,837.09,4.967,0.0
2.512,838.084,5.642,0.0
2.512,839.079,0.036,0.0
2.512,840.082,0.778,0.0
2.512,841.082,1.496,0.0
2.512,842.09,2.265,0.0
2.512,843.089,2.972,0.0
2.512,844.088,3.682,0.0
2.512,845.096,4.462,0.0
2.512,846.093,5.155,0.0
2.512,847.087,5.83,0.0
2.512,848.094,0.308,0.0
2.512,849.095,1.037,0.0
2.512,850.09,1.72,0.0
2.512,851.089,2.429,0.0
2.512,852.087,3.131,0.0
2.512,853.082,3.809,0.0
2.512,854.088,4.572,0.0
2.512,855.084,5.261,0.0
2.512,856.092,6.032,0.0
2.512,857.09,0.448,0.0
2.512,858.079,1.091,0.0
2.512,859.08,1.814,0.0
2.512,860.079,2.527,0.0
2.512,861.087,3.301,0.0
2.512,862.087,4.014,0.0
2.512,863.087,4.729,0.0
2.512,864.085,5.436,0.0
2.512,865.078,6.103,0.0
2.512,866.074,0.505,0.0
2.512,867.093,1.36,0.0
2.512,868.092,2.07,0.0
2.512,869.083,2.718,0.0
2.512,870.093,3.506,0.0
2.512,871.083,4.157,0.0
2.512,872.075,4.818,0.0
2.512,873.081,5.574,0.0
2.512,874.085,0.035,0.0
2.512,875.084,0.742,0.0
2.512,876.094,1.536,0.0
2.512,877.083,2.17,0.0
2.512,878.076,2.837,0.0
2.512,879.09,3.652,0.0
2.512,880.089,4.364,0.0
2.512,881.084,5.05,0.0
2.512,882.087,5.781,0.0
2.512,883.083,0.186,0.0
2.512,884.077,0.864,0.0
2.512,885.075,1.568,0.0
2.512,886.095,2.426,0.0
2.512,887.094,3.136,0.0
2.512,888.086,3.795,0.0
2.512,889.088,4.526,0.0
2.512,890.093,5.276,0.0
2.512,891.089,5.967,0.0
2.512,892.098,0.466,0.0
2.512,893.103,1.216,0.0
2.512,894.098,1.894,0.0
2.512,895.096,2.601,0.0
2.512,896.083,3.228,0.0
2.512,897.087,3.97,0.0
2.512,898.091,4.717,0.0
2.512,899.084,5.384,0.0
2.512,900.08,6.073,0.0
2.512,901.083,0.529,0.0
2.512,902.074,1.177,0.0
2.512,903.066,1.844,0.0
2.512,904.08,2.658,0.0
2.512,905.088,3.43,0.0
2.512,906.083,4.11,0.0
2.512,907.07,4.737,0.0
2.512,908.076,5.495,0.0
2.512,909.078,6.224,0.0
2.512,910.071,0.607,0.0
2.512,911.077,1.368,0.0
2.512,912.072,2.049,0.0
2.512,913.072,2.769,0.0
2.512,914.07,3.468,0.0
2.512,915.061,4.122,0.0
2.512,916.066,4.875,0.0
2.512,917.073,5.641,0.0
2.512,918.07,0.054,0.0
2.512,919.069,0.764,0.0
2.512,920.079,1.554,0.0
2.512,921.072,2.216,0.0
2.512,922.068,2.907,0.0
2.512,923.072,3.654,0.0
2.512,924.082,4.437,0.0
2.512,925.08,5.141,0.0
2.512,926.073,5.813,0.0
2.512,927.08,0.291,0.0
2.512,928.071,0.945,0.0
2.512,929.069,1.652,0.0
2.512,930.079,2.437,0.0
2.512,931.086,3.2,0.0
2.512,932.077,3.856,0.0
2.512,933.078,4.58,0.0
2.512,934.074,5.271,0.0
2.512,935.08,6.029,0.0
2.512,936.091,0.539,0.0
2.512,937.087,1.227,0.0
2.512,938.089,1.961,0.0
2.512,939.097,2.73,0.0
2.512,940.086,3.367,0.0
2.512,941.078,4.029,0.0
2.512,942.082,4.774,0.0
2.512,943.086,5.518,0.0
2.512,944.081,6.202,0.0
2.512,945.076,0.601,0.0
2.512,946.076,1.319,0.0
2.512,947.066,1.965,0.0
2.512,948.065,2.672,0.0
2.512,949.066,3.4,0.0
2.512,950.069,4.137,0.0
2.512,951.06,4.791,0.0
2.512,952.058,5.495,0.0
2.512,953.054,6.181,0.0
2.512,954.062,0.675,0.0
2.512,955.073,1.468,0.0
2.512,956.074,2.191,0.0
2.512,957.076,2.917,0.0
2.512,958.076,3.637,0.0
2.512,959.07,4.315,0.0
2.512,960.065,4.995,0.0
2.512,961.081,5.821,0.0
2.512,962.077,0.229,0.0
2.512,963.075,0.928,0.0
2.512,964.072,1.629,0.0
2.512,965.071,2.334,0.0
2.512,966.061,2.982,0.0
2.512,967.064,3.724,0.0
2.512,968.072,4.493,0.0
2.512,969.068,5.184,0.0
2.512,970.071,5.923,0.0
2.512,971.067,0.329,0.0
2.512,972.059,0.985,0.0
2.512,973.065,1.748,0.0
2.512,974.074,2.525,0.0
2.512,975.069,3.208,0.0
2.512,976.058,3.846,0.0
2.512,977.064,4.609,0.0
2.512,978.057,5.271,0.0
2.512,979.053,5.962,0.0
2.512,980.063,0.469,0.0
2.512,981.069,1.227,0.0
2.512,982.065,1.916,0.0
2.512,983.065,2.633,0.0
2.512,984.065,3.349,0.0
2.512,985.061,4.034,0.0
2.512,986.068,4.803,0.0
2.512,987.065,5.497,0.0
2.512,988.072,6.266,0.0
2.512,989.068,0.668,0.0
2.512,990.058,1.317,0.0
2.512,991.049,1.97,0.0
2.512,992.061,2.771,0.0
2.512,993.066,3.521,0.0
2.512,994.064,4.228,0.0
2.512,995.063,4.938,0.0
2.512,996.063,5.653,0.0
2.512,997.058,0.048,0.0
2.512,998.058,0.769,0.0
2.512,999.081,1.642,0.0
2.512,1000.078,2.339,0.0
2.512,1001.079,3.062,0.0
2.512,1002.08,3.788,0.0
2.512,1003.073,4.457,0.0
2.512,1004.077,5.202,0.0
2.512,1005.084,5.966,0.0
2.512,1006.08,0.371,0.0
2.512,1007.088,1.142,0.0
2.512,1008.088,1.863,0.0
2.512,1009.08,2.522,0.0
2.512,1010.072,3.186,0.0
2.512,1011.087,4.003,0.0
2.512,1012.088,4.729,0.0
2.512,1013.083,5.415,0.0
2.512,1014.08,6.106,0.0
2.512,1015.082,0.557,0.0
2.512,1016.076,1.232,0.0
2.512,1017.078,1.958,0.0
2.512,1018.094,2.788,0.0
2.512,1019.092,3.493,0.0
2.512,1020.079,4.117,0.0
2.512,1021.077,4.821,0.0
2.512,1022.075,5.523,0.0
2.512,1023.067,6.182,0.0
2.512,1024.074,0.67,0.0
2.512,1025.072,1.367,0.0
2.512,1026.074,2.101,0.0
2.512,1027.076,2.829,0.0
2.512,1028.07,3.504,0.0
2.512,1029.072,4.236,0.0
2.512,1030.08,5.007,0.0
2.512,1031.075,5.69,0.0
2.512,1032.073,0.109,0.0
2.512,1033.077,0.859,0.0
2.512,1034.078,1.577,0.0
2.512,1035.068,2.23,0.0
2.512,1036.074,2.989,0.0
2.512,1037.08,3.741,0.0
2.512,1038.086,4.505,0.0
2.512,1039.08,5.177,0.0
2.512,1040.08,5.898,0.0
2.512,1041.075,0.295,0.0
2.512,1042.082,1.061,0.0
2.512,1043.091,1.838,0.0
2.512,1044.084,2.51,0.0
2.512,1045.084,3.223,0.0
2.512,1046.083,3.935,0.0
2.512,1047.078,4.613,0.0
2.512,1048.073,5.299,0.0
2.512,1049.089,6.129,0.0
2.512,1050.085,0.535,0.0
