1,2,3,4,,,,,,,,,,,
5.19,7034.708,1.96,2.41,-0.45,,,,,,,,,,200
5.19,7032.721,0.616,1.013,-0.397,,,,,,,,,,
5.19,7030.738,5.586,5.918,-0.332,,,,,,,,,,
5.19,7028.723,4.043,4.448,-0.405,,,,,,,,,,
5.19,7026.729,2.656,3.053,-0.397,,,,,,,,,,
5.19,7024.738,1.282,1.601,-0.319,,,,,,,,,,
5.19,7022.708,5.925,0.058,-0.416185307,,,,,,,,,,
5.19,7020.691,4.374,4.855,-0.481,,,,,,,,,,
5.19,7018.699,2.992,3.339,-0.347,,,,,,,,,,
5.19,7016.688,1.483,1.923,-0.44,,,,,,,,,,
5.19,7014.702,0.15,0.54,-0.39,,,,,,,,,,
5.19,7012.708,5.043,5.391,-0.348,,,,,,,,,,
5.19,7010.692,3.497,3.907,-0.41,,,,,,,,,,
5.19,7008.705,2.152,2.541,-0.389,,,,,,,,,,
5.19,7006.714,0.778,1.121,-0.343,,,,,,,,,,
5.19,7004.696,5.502,5.926,-0.424,,,,,,,,,,
5.19,7002.704,4.125,4.456,-0.331,,,,,,,,,,
5.19,7000.692,2.612,3.065,-0.453,,,,,,,,,,
5.19,6998.693,1.181,1.586,-0.405,,,,,,,,,,
5.19,6996.707,6.125,0.207,-0.365185307,,,,,,,,,,
5.19,6994.7,4.649,5.181,-0.532,,,,,,,,,,
5.19,6992.715,3.321,3.698,-0.377,,,,,,,,,,
5.19,6990.726,1.96,2.324,-0.364,,,,,,,,,,
5.19,6988.72,0.487,0.929,-0.442,,,,,,,,,,
5.19,6986.731,5.415,5.795,-0.38,,,,,,,,,,
5.19,6984.727,3.947,4.214,-0.267,,,,,,,,,,
5.19,6982.718,2.454,2.879,-0.425,,,,,,,,,,
5.19,6980.724,1.059,1.43,-0.371,,,,,,,,,,
5.19,6978.719,5.874,6.218,-0.344,,,,,,,,,,
5.19,6976.708,4.366,4.858,-0.492,,,,,,,,,,
5.19,6974.718,3.002,3.351,-0.349,,,,,,,,,,
5.19,6972.703,1.462,1.912,-0.45,,,,,,,,,,
5.19,6970.717,0.128,0.516,-0.388,,,,,,,,,,
5.19,6968.72,5,5.353,-0.353,,,,,,,,,,
5.19,6966.704,3.451,3.842,-0.391,,,,,,,,,,
5.19,6964.717,2.109,2.52,-0.411,,,,,,,,,,
5.19,6962.725,0.73,1.088,-0.358,,,,,,,,,,
5.19,6960.708,5.464,5.898,-0.434,,,,,,,,,,
5.19,6958.706,4.015,4.415,-0.4,,,,,,,,,,
5.19,6956.721,2.687,3.045,-0.358,,,,,,,,,,
5.19,6954.708,1.16,1.611,-0.451,,,,,,,,,,
5.19,6952.712,6.042,0.174,-0.415185307,,,,,,,,,,
5.19,6950.719,4.654,5.117,-0.463,,,,,,,,,,
5.19,6948.709,3.152,3.606,-0.454,,,,,,,,,,
5.19,6946.706,1.697,2.121,-0.424,,,,,,,,,,
5.19,6944.713,0.312,0.683,-0.371,,,,,,,,,,
5.19,6942.707,5.122,5.545,-0.423,,,,,,,,,,
5.19,6940.703,3.662,4.008,-0.346,,,,,,,,,,
5.19,6938.71,2.275,2.643,-0.368,,,,,,,,,,
5.19,6936.704,0.796,1.224,-0.428,,,,,,,,,,
5.19,6934.706,5.665,6.045,-0.38,,,,,,,,,,
5.19,6932.725,4.36,4.757,-0.397,,,,,,,,,,
5.19,6930.718,2.879,3.284,-0.405,,,,,,,,,,
5.19,6928.72,1.459,1.843,-0.384,,,,,,,,,,
5.19,6926.734,0.123,0.446,-0.323,,,,,,,,,,
5.19,6924.713,4.828,5.288,-0.46,,,,,,,,,,
5.19,6922.712,3.387,3.759,-0.372,,,,,,,,,,
5.19,6920.702,1.884,2.337,-0.453,,,,,,,,,,
5.19,6918.705,0.467,0.878,-0.411,,,,,,,,,,
