1,2,3,4,
5.19,-823.99,0.365,0.982,-0.617
5.19,-828.986,3.088,3.616,-0.528
5.19,-833.946,6.072,0.188,-0.399185307
5.19,-838.939,2.531,3.142,-0.611
5.19,-843.9,5.504,6.01,-0.506
5.19,-848.913,1.833,2.564,-0.731
5.19,-853.879,4.769,5.401,-0.632
5.19,-858.871,1.238,1.721,-0.483
5.19,-863.886,3.835,4.494,-0.659
5.19,-868.864,0.404,0.973,-0.569
5.19,-873.841,3.264,3.742,-0.478
5.19,-878.881,5.687,0.063,-0.659185307
5.19,-883.904,1.939,2.471,-0.532
5.19,-888.921,4.517,4.968,-0.451
5.19,-893.95,0.732,1.352,-0.62
5.19,-898.91,3.713,4.215,-0.502
5.19,-903.868,0.418,0.836,-0.418
5.19,-908.892,2.948,3.552,-0.604
5.19,-913.861,5.867,0.072,-0.488185307
5.19,-918.879,2.16,2.884,-0.724
5.19,-923.854,5.031,5.59,-0.559
5.19,-928.852,1.463,1.946,-0.483
5.19,-933.892,3.883,4.596,-0.713
5.19,-938.875,0.419,0.939,-0.52
5.19,-943.853,3.266,3.732,-0.466
5.19,-948.878,5.793,0.121,-0.611185307
5.19,-953.9,2.056,2.542,-0.486
5.19,-958.873,4.943,5.413,-0.47
5.19,-963.902,1.155,1.755,-0.6
5.19,-968.878,4.023,4.516,-0.493
5.19,-973.873,0.471,1.16,-0.689
5.19,-978.849,3.339,3.644,-0.305
5.19,-983.864,5.933,0.227,-0.577185307
5.19,-988.852,2.438,2.876,-0.438
5.19,-993.904,4.769,5.436,-0.667
5.19,-998.917,1.096,1.609,-0.513
5.19,-1003.9,3.911,4.318,-0.407
5.19,-1008.921,0.182,0.801,-0.619
5.19,-1013.906,2.988,3.476,-0.488
5.19,-1018.923,5.569,6.278,-0.709
5.19,-1023.882,2.272,2.826,-0.554
5.19,-1028.864,5.095,5.584,-0.489
5.19,-1033.882,1.387,2.039,-0.652
5.19,-1038.865,4.204,4.813,-0.609
5.19,-1043.839,0.803,1.252,-0.449
5.19,-1048.854,3.394,3.989,-0.595
5.19,-1053.837,6.214,0.452,-0.521185307
5.19,-1058.831,2.668,3.073,-0.405
5.19,-1063.864,5.136,5.76,-0.624
5.19,-1068.849,1.662,2.16,-0.498
5.19,-1073.887,4.095,4.722,-0.627
5.19,-1078.873,0.605,1.19,-0.585
5.19,-1083.879,3.264,3.751,-0.487
5.19,-1088.935,5.573,6.238,-0.665
5.19,-1093.884,2.344,2.925,-0.581
5.19,-1098.839,5.359,5.813,-0.454
5.19,-1103.857,1.646,2.309,-0.663
5.19,-1108.842,4.45,4.996,-0.546
5.19,-1113.831,0.946,1.352,-0.406
5.19,-1118.848,3.527,4.125,-0.598
5.19,-1123.833,0.045,0.553,-0.508
5.19,-1128.868,2.497,3.214,-0.717
5.19,-1133.873,5.164,5.753,-0.589
5.19,-1138.915,1.285,1.857,-0.572
5.19,-1143.888,4.174,4.64,-0.466
5.19,-1148.913,0.418,1.076,-0.658
5.19,-1153.891,3.27,3.867,-0.597
5.19,-1158.872,6.101,0.256,-0.438185307
5.19,-1163.886,2.418,3.031,-0.613
