Target Position,Measured Position,Measured Velocity,Measured Iq
0,6.248,0,0
0,5.885,-60.716,-1.623
0,4.978,-76.204,2.596
0,4.884,-8.236,-1.527
0,4.308,-67.638,0.073
0,3.846,-29.152,0.892
0,3.731,-19.528,-1.452
0,3.219,-51.485,0.297
0,2.965,-14.357,0.229
0,2.888,-16.478,-1.381
0,2.42,-47.469,0.647
0,2.314,-1.673,0.058
0,2.207,-22.626,-1.128
0,1.808,-32.896,1.128
0,1.831,4.856,-0.367
0,1.662,-27.012,-0.212
0,1.374,-19.405,0.968
0,1.461,8.573,-0.98
0,1.272,-25.003,-0.117
0,1.03,-17.075,0.987
0,1.099,6.055,-0.365
0,0.953,-19.288,-0.117
0,0.809,-8.899,0.36
0,0.859,4.779,-0.489
0,0.754,-14.408,-0.14
0,0.594,-13.893,0.503
0,0.615,3.934,0.013
0,0.588,-5.838,-0.286
0,0.458,-12.61,0.152
0,0.45,3.218,0.081
0,0.476,-0.373,-0.463
0,0.374,-9.935,-0.063
0,0.356,1.199,0.023
0,0.382,0.525,-0.396
0,0.316,-6.578,-0.137
0,0.283,-1.453,-0.019
0,0.294,0.133,-0.218
0,0.263,-3.272,-0.18
0,0.237,-2.102,-0.129
0,0.225,-0.902,-0.158
0,0.206,-2.288,-0.146
0,0.161,-5.065,-0.045
0,0.12,-3.267,0.133
0,0.124,0.32,0.001
0,0.106,-2.435,-0.015
0,0.085,-1.364,0.062
0,0.089,0.241,-0.047
0,0.071,-2.017,-0.004
0,0.06,-0.709,0.037
0,0.059,-0.333,-0.027
0,0.048,-1.302,0.023
0,0.036,-0.815,0.033
0,0.033,-0.09,0.039
0,0.031,-0.322,0.012
0,0.024,-0.587,0.047
0,0.021,-0.023,0.032
0,0.021,-0.006,0.002
0,0.017,-0.207,0.021
0,0.018,0.059,0.023
0,0.017,-0.005,0.006
0,0.016,0.081,0.02
0,0.014,-0.064,0.002
0,0.014,0.259,0.019
0,0.012,-0.2,0.012
0,0.011,-0.167,0.009
0,0.01,-0.15,0.002
0,0.011,0.098,0.006
0,0.01,-0.053,-0.001
0,0.009,-0.14,0.027
0,0.009,-0.092,0.007
0,0.007,-0.196,0.008
0,0.007,0.105,0.025
0,0.006,-0.104,0.002
0,0.006,0.01,0.011
0,0.005,0.089,0.002
0,0.006,0.27,0.004
0,0.004,-0.137,0.009
0,0.005,0.075,0.008
0,0.006,0.351,0
0,0.004,0.027,0.002
0,0.004,-0.02,-0.003
0,0.003,0.027,0.009
0,0.003,-0.18,0.007
0,0.004,0.13,0.013
0,0.003,0.068,-0.002
0,0.004,0.12,0.006
0,0.004,0.16,0.008
0,0.003,-0.065,0.004
0,0.004,0.351,0.012
0,0.003,0.092,0
0,0.002,-0.351,-0.003
0,0.003,-0.004,0.012
0,0.004,0.308,0.011
0,0.003,0.142,0.003
0,0.002,-0.248,-0.003
0,0.003,0.082,0.003
0,0.002,-0.183,-0.003
0,0.003,0.254,-0.002
0,0.002,0.11,-0.008
0,0.002,-0.289,-0.021
0,0.003,0.165,-0.011
0,0.003,0.29,0.012
0,0.002,-0.01,-0.006
0,0.004,0.6,0.003
0,0.002,-0.062,0.009
0,0.001,-0.308,-0.003
0,0.001,-0.051,0.007
0,0.002,0.261,0.001
